feature,importance
first_in_rate_last_10_diff,0.0024238823
break_conversion_rate_last_50_diff,0.0024216434
rank_change_28_days_sum,0.0024216273
surface_h2h_diff,0.0024148833
ace_rate_last_50_diff,0.0024079077
ace_rate_last_10_sum,0.0024069361
surface_elo_gap_sum,0.002405074
first_won_rate_last_25_diff,0.002399334
return_points_won_rate_last_50_diff,0.0023974655
df_rate_last_50_diff,0.0023930739
minutes_avg_last_25_diff,0.0023853758
surface_return_points_won_rate_last_10_sum,0.0023835301
break_save_rate_last_10_sum,0.0023829425
elo_sum,0.0023824037
surface_minutes_avg_last_25_sum,0.0023759205
df_rate_last_25_sum,0.0023742528
surface_Carpet,0.002372158
matches_last_30_days_sum,0.002370431
surface_win_rate_last_25_sum,0.0023688024
round_stage_progress,0.0023672397
opponent_surface_elo_avg_last_25_diff,0.002365056
surface_minutes_avg_last_10_sum,0.0023642948
minutes_last_30_days_diff,0.0023633095
ace_rate_last_50_sum,0.0023625614
surface_performance_vs_expectation_last_10_diff,0.0023608992
performance_vs_expectation_last_25_sum,0.0023553008
tourney_level_G,0.002355128
elo_delta_avg_last_50_sum,0.002354781
h2h_total,0.0023497117
surface_elo_delta_avg_last_10_sum,0.0023402774
elo_delta_avg_last_100_sum,0.002337706
performance_vs_expectation_last_25_diff,0.0023346364
service_points_won_rate_last_10_sum,0.0023331984
surface_elo_delta_avg_last_50_diff,0.0023297854
ace_rate_last_25_sum,0.0023291786
round_R128,0.0023276804
break_save_rate_last_100_sum,0.0023195767
surface_service_points_won_rate_last_10_sum,0.0023177196
surface_return_points_won_rate_last_25_sum,0.0023175324
elo_delta_avg_last_25_sum,0.0023170218
ace_rate_last_100_diff,0.0023151885
surface_win_rate_last_10_diff,0.0023151655
second_won_rate_last_25_sum,0.0023120798
point_win_rate_last_10_sum,0.0023088034
return_points_won_rate_last_25_diff,0.0023064725
rank_points_change_91_days_sum,0.0023012368
return_points_won_rate_last_25_sum,0.002295263
win_rate_last_10_sum,0.002283951
surface_elo_sum,0.002272655
first_in_rate_last_10_sum,0.0022685025
break_save_rate_last_25_diff,0.0022654529
minutes_avg_last_50_sum,0.0022614787
surface_minutes_avg_last_25_diff,0.002253906
surface_elo_delta_avg_last_25_sum,0.0022425833
surface_point_win_rate_last_25_sum,0.0022335176
break_save_rate_last_50_diff,0.0022252758
elo_delta_avg_last_10_sum,0.0022243096
break_conversion_rate_last_10_diff,0.0022204083
break_conversion_rate_last_100_sum,0.0022179114
first_won_rate_last_50_diff,0.0022029618
win_rate_last_14_days_sum,0.0021959501
minutes_avg_last_100_sum,0.0021761
break_conversion_rate_last_25_diff,0.0021677406
return_points_won_rate_last_10_sum,0.0021648698
matches_last_14_days_sum,0.0021521463
opponent_surface_elo_avg_last_10_diff,0.0021491358
days_since_last_surface_match_sum,0.0021482368
point_win_rate_last_25_sum,0.0021479717
entry_wc_diff,0.0021476483
performance_vs_expectation_last_100_sum,0.002145588
first_won_rate_last_10_sum,0.0021050929
minutes_last_30_days_sum,0.0021028463
minutes_avg_last_50_diff,0.0020789055
win_rate_last_30_days_sum,0.002078745
minutes_avg_last_10_diff,0.0020670688
first_in_rate_last_25_diff,0.0020428384
tourney_level_T5,0.002018714
break_conversion_rate_last_25_sum,0.0020165232
tourney_level_PM,0.0020024453
tourney_level_CC,0.0019466407
round_stage_index,0.0019298819
days_since_last_tourney_match_diff,0.001894462
entry_wc_sum,0.0018354078
seed_diff,0.0017378841
best_of_5,0.0015335581
tourney_level_T3,0.0015319309
tourney_level_W,0.0014662463
surface_Unknown,0.0014503635
round_F,0.0014103043
round_R16,0.0011880521
round_BR,0.0
round_QF,0.0
tourney_level_F,0.0
tourney_level_E,0.0
round_R4,0.0
tourney_level_T2,0.0
round_RR,0.0
tourney_level_O,0.0
